
AAD00001;10.96.74.12;NCR         
AAD00002;10.96.27.9;NCR         
AAD00005;10.96.74.11;NCR         
AAD00009;10.96.103.9;DIBOLD      
AAD00010;10.208.11.66;NCR         
AAD00012;10.96.31.10;NCR         
AAD00015;10.96.81.10;NCR         
AAD00017;10.96.113.9;NCR         
AAD00018;10.208.17.82;NCR         
AAD00021;10.112.11.10;NCR         
AAD00022;10.96.25.10;NCR         
AAD00023;10.96.81.9;NCR         
AAD00025;10.96.96.9;NCR         
AAD00027;10.96.112.9;NCR         
AAD00029;10.208.11.74;NCR         
AAD00031;10.96.2.9;NCR         
AAD00032;10.96.3.99;NCR         
AAD00034;10.112.11.9;NCR         
AAD00035;10.96.12.15;NCR         
AAD00036;10.96.2.6;NCR         
AAD00042;10.96.19.10;NCR         
AAD00044;10.96.23.10;NCR         
AAD00045;10.208.10.146;NCR         
AAD00046;10.211.7.10;NCR         
AAD00047;10.96.25.99;NCR         
AAD00049;10.80.15.9;NCR         
AAD00050;10.208.10.114;NCR         
AAD00051;10.96.2.10;NCR         
AAD00054;10.96.25.89;NCR         
AAD00055;10.96.8.9;NCR         
AAD00056;10.96.26.9;NCR         
AAD00059;10.96.73.9;NCR         
AAD00063;10.96.31.9;NCR         
AAD00065;10.96.24.99;NCR         
AAD00066;10.96.79.9;NCR         
AAD00067;10.96.2.11;NCR         
AAD00070;10.96.63.9;NCR         
AAD00071;10.96.80.90;NCR         
AAD00072;10.96.32.9;NCR         
AAD00074;10.208.27.98;NCR         
AAD00075;10.96.85.9;NCR         
AAD00077;10.96.76.9;DIBOLD      
AAD00079;10.96.19.8;DIBOLD      
AAD00080;10.96.3.10;NCR         
AAD00081;10.96.60.9;DIBOLD      
AAD00082;10.96.12.9;DIBOLD      
AAD00093;10.96.23.9;NCR         
AAD00095;10.96.4.9;NCR         
AAD00104;10.96.103.10;NCR         
AAD00105;10.96.19.11;NCR         
AAD00106;10.96.76.10;NCR         
AAD00111;10.80.15.10;NCR         
AAD00115;10.96.60.10;NCR         
AAD00116;10.96.19.13;NCR         
AAD00121;10.96.118.9;NCR         
AAD00125;10.96.116.9;NCR         
AAD00128;10.96.119.9;NCR         
AAD00129;10.96.120.9;NCR         
AAD00130;10.208.24.90;NCR         
AAD00131;10.96.121.9;NCR         
AAD00132;10.96.98.9;NCR         
AAD00134;10.96.74.13;NCR         
AAD00135;10.96.12.10;NCR         
AAD00136;10.96.117.9;NCR         
AAD00137;10.96.113.10;NCR         
AAD00138;10.96.73.10;NCR         
AAD00139;10.96.4.10;NCR         
AAD00140;10.96.122.9;NCR         
AAD00141;10.96.8.10;NCR         
AAD00142;10.112.252.9;NCR         
AAD00143;10.112.87.9;NCR         
AAD00144;10.96.138.9;NCR         
AAD00145;10.112.74.10;NCR         
AAD00146;10.113.20.9;NCR         
AAD00150;10.96.98.10;NCR         
AAD00152;10.208.28.74;NCR         
AAD00154;10.96.123.9;NCR         
AAD00155;10.208.10.99;NCR         
AAD00156;10.96.127.9;NCR         
AAD00157;10.96.126.9;NCR         
AAD00158;10.96.125.9;NCR         
AAD00159;10.96.128.9;NCR         
AAD00160;10.96.81.11;NCR         
AAD00162;10.96.124.9;DIBOLD      
AAD00163;10.96.24.10;DIBOLD      
AAD00164;10.96.109.10;DIBOLD      
AAD00168;10.112.11.11;NCR         
AAD00169;10.96.3.9;NCR         
AAD00170;10.96.24.11;NCR         
AAD00174;10.96.74.14;DIBOLD      
AAD00175;10.96.109.11;NCR         
AAD00177;10.96.2.8;NCR         
AAD00178;10.96.100.10;DIBOLD      
AAD00179;10.96.31.11;NCR         
AAD00180;10.96.100.8;NCR         
AAD00182;10.112.37.5;NCR         
AAD00183;10.112.37.4;NCR         
AAD00184;10.112.37.7;NCR         
AAD00185;10.113.19.9;NCR         
AAD00188;10.208.27.180;NCR         
AAD00189;10.208.27.179;NCR         
AAD00190;10.96.124.10;NCR         
AAD00191;10.96.32.10;NCR         
AAD00192;10.208.28.121;NCR         
AAD00193;10.96.135.9;NCR         
AAD00194;10.96.141.9;NCR         
AAD00195;10.96.137.9;NCR         
AAM00001;10.208.27.193;NCR         
AAM00002;10.144.0.9;NCR         
AAM00003;10.144.0.7;NCR         
AAM00004;10.144.0.8;NCR         
AAM00005;10.208.6.226;NCR         
AAM00006;10.144.0.6;NCR         
AAM00007;10.144.53.9;NCR         
AAM00008;10.144.53.10;NCR         
AAM00009;10.144.19.9;NCR         
AAM00010;10.144.19.7;NCR         
AAM00011;10.144.19.10;NCR         
AAM00013;10.33.28.7;NCR         
AAM00014;10.33.28.10;NCR         
AAM00016;10.144.45.10;NCR         
AAM00018;10.144.59.9;NCR         
AAM00019;10.32.192.11;NCR         
AAM00020;10.32.192.7;NCR         
AAM00021;10.32.192.10;NCR         
AAM00022;10.208.24.178;NCR         
AAM00023;10.33.24.10;NCR         
AAM00024;10.34.69.7;NCR         
AAM00025;10.33.211.7;NCR         
AAM00026;10.144.40.9;NCR         
AAM00027;10.144.87.7;NCR         
AAM00028;10.144.71.7;NCR         
AAM00029;10.144.30.9;NCR         
AAM00030;10.144.70.10;NCR         
AAM00031;10.144.20.9;NCR         
AAM00032;10.144.29.7;NCR         
AAM00033;10.144.83.7;NCR         
AAM00034;10.34.40.9;NCR         
AAM00035;10.33.185.7;NCR         
AAM00036;10.144.73.7;NCR         
AAM00037;10.144.40.7;NCR         
AAM00038;10.208.7.50;NCR         
AAM00039;10.128.103.9;NCR         
AAM00040;10.128.94.9;NCR         
AAM00041;10.128.124.9;NCR         
AAM00042;10.128.102.9;NCR         
AAM00043;10.144.88.9;NCR         
AAM00044;10.128.95.9;NCR         
AAM00045;10.33.164.9;NCR         
AAM00046;10.128.15.9;NCR         
AAM00047;10.128.7.9;NCR         
AAM00048;10.128.16.9;NCR         
AAM00049;10.128.93.9;NCR         
AAM00050;10.128.135.9;NCR         
AAM00051;10.128.7.10;NCR         
AAM00052;10.128.78.9;NCR         
